analysis,stage,feature_family,weighting,estimand,estimate,ci_low,ci_high,valid_bootstraps,n_labs,n_participants,n_positive,n_negative,n_within_pairs
eeg_model,REM,PSD (published),participant_equal,pooled,0.5989500517622559,0.5163442540288642,0.6753884015981483,2000,4,87,284,51,4344
eeg_model,REM,PSD (published),participant_equal,site_macro,0.46293987986124135,0.375087265679797,0.5687720333838489,2000,4,87,284,51,4344
eeg_model,REM,PSD (published),participant_equal,within_pair_weighted,0.5666575970423472,0.47064900919274477,0.6580775167062672,2000,4,87,284,51,4344
eeg_model,REM,PSD (published),participant_equal,site_macro_fold_conditioned,0.4881823504769172,0.4178353994565546,0.5911960800668139,2000,4,87,284,51,4344
eeg_model,REM,PSD (published),participant_equal,within_pair_weighted_fold_conditioned,0.5918449866505301,0.49569136874510283,0.6791194926615928,2000,4,87,284,51,4344
eeg_model,REM,Riemannian covariance,record,pooled,0.6120425987296326,0.5455229648910593,0.6791955295267049,2000,4,87,284,51,4344
eeg_model,REM,Riemannian covariance,record,site_macro,0.4948528503788928,0.42146623135230143,0.5939077714076186,2000,4,87,284,51,4344
eeg_model,REM,Riemannian covariance,record,within_pair_weighted,0.5200621546961326,0.44941735795895776,0.601170986742023,2000,4,87,284,51,4344
eeg_model,REM,Riemannian covariance,record,site_macro_fold_conditioned,0.534944477591335,0.4676761701631444,0.6208020879355008,2000,4,87,284,51,4344
eeg_model,REM,Riemannian covariance,record,within_pair_weighted_fold_conditioned,0.5527621085391947,0.4722669214318174,0.6537336658491572,2000,4,87,284,51,4344
eeg_model,REM,Riemannian covariance,participant_equal,pooled,0.5738355793700792,0.4785640043619055,0.667077984031176,2000,4,87,284,51,4344
eeg_model,REM,Riemannian covariance,participant_equal,site_macro,0.49949659323248286,0.4163789760105917,0.5868742279452687,2000,4,87,284,51,4344
eeg_model,REM,Riemannian covariance,participant_equal,within_pair_weighted,0.5124948699356479,0.39781795892650074,0.6294471914446301,2000,4,87,284,51,4344
eeg_model,REM,Riemannian covariance,participant_equal,site_macro_fold_conditioned,0.5251417889424228,0.44696938026976346,0.6022691344500837,2000,4,87,284,51,4344
eeg_model,REM,Riemannian covariance,participant_equal,within_pair_weighted_fold_conditioned,0.5401211898131623,0.4245587277213561,0.6570520028088404,2000,4,87,284,51,4344
eeg_model,REM,Surrogate-normalized irreversibility,record,pooled,0.6037109914388291,0.5257578211205094,0.677424149232378,2000,4,87,284,51,4344
eeg_model,REM,Surrogate-normalized irreversibility,record,site_macro,0.5644197886993501,0.48615627444434517,0.6419233115769979,2000,4,87,284,51,4344
eeg_model,REM,Surrogate-normalized irreversibility,record,within_pair_weighted,0.5979051565377532,0.4937660140983378,0.6934674381181715,2000,4,87,284,51,4344
eeg_model,REM,Surrogate-normalized irreversibility,record,site_macro_fold_conditioned,0.6060568240382274,0.5261149581592135,0.6823833898490969,2000,4,87,284,51,4344
